HDFC BANK STATEMENT PROCESSING LOG - Apr-2026
======================================================================
Transactions processed: 145
Transport transactions categorized: 38
Uncategorized transactions (> ₹500 - Needs Classification): 11

Category totals (count and amount breakdown):
Category                       Count  Debit Amount (₹)  Credit Amount (₹)      Net (₹)
08-04-2026  UPI-PALAGIRI BALASUBBAR-Q035890289@YBL- YESB0YBLUPI-886182042345-PAYMENTFROMPH ONE              Debit       596.00  Uncategorized
12-04-2026  UPI-THANUSHREER N-THANUSHREENAGARAJTHAN U-1@OKAXIS-CNRB0000033-465602612500-PAYM ENTFROMPHONE   Debit       567.00  Uncategorized
25-04-2026  UPI-MADANA R-HAVOCMADHAN39-1@OKAXIS-HDFC 0003637-915844079279-PAYMENTFROMPHONE                  Debit       590.00  Uncategorized
26-04-2026  UPI-SUMAN RAMU-SRAM29-1@OKSBI-SBIN00112 83-740863608635-PAYMENTFROMPHONE                        Debit     1,000.00  Uncategorized

Transport transactions:
Date        Narration                                                                                                      Type    Amount (₹)  Category 
----------  -------------------------------------------------------------------------------------------------------------  ------  ----------  ---------
01-04-2026  UPI-RAKESHKUMAR MALLIK-7682986266@NYES- KKBK0008042-708679651797-PAYMENTFROMPH ONE                             Debit        44.00  Transport
01-04-2026  UPI-KA01AR0394-BMTC.KA01AR0394@CNRB-CNRB 0000681-941994667985-PAYMENTFROMPHONE                                 Debit        25.00  Transport
01-04-2026  UPI-BMTCBUS KA57F2462-KA57F2462@CNRB-CN RB0000033-577070464078-PAYMENTFROMPHON E                               Debit        23.00  Transport
02-04-2026  UPI-KA01AR0381-BMTC.KA01AR0381@CNRB-CNRB 0000681-987255107190-PAYMENTFROMPHONE                                 Debit        20.00  Transport
02-04-2026  UPI-GOUTAMCHARAN DAS-9741897978@KOTAK81 1-KKBK0008155-806559248372-PAYMENTFROM PHONE                           Debit        52.00  Transport
02-04-2026  UPI-KA01AR1680-BMTC.KA01AR1680@CNRB-CNRB 0000681-571606194492-PAYMENTFROMPHONE                                 Debit        20.00  Transport
03-04-2026  UPI-SANTHOSHAKUMARA SHE-PAYTMQR72VPS6@P TYS-YESB0PTMUPI-889005778963-PAYMENTFRO MPHONE                         Debit       100.00  Transport
06-04-2026  UPI-RAVIKUMARA R-RAVIKU4071@AXL-IOBA000 0329-696533349752-PAYMENTFROMPHONE                                     Debit        78.00  Transport
06-04-2026  UPI-BMTCBUS KA57F4594-KA57F4594@CNRB-CN RB0000033-357166968507-PAYMENTFROMPHON E                               Debit        12.00  Transport
06-04-2026  UPI-BMTCBUS KA57F1100-KA57F1100@CNRB-CN RB0000681-495002195875-PAYMENTFROMPHON E                               Debit        20.00  Transport
07-04-2026  UPI-UBERINDIASYSTEMS P-UBER1.RZP@HDFCB ANK-HDFC0000001-103066596336-REFUNDFOR UBERIN                           Credit        1.00  Transport
07-04-2026  UPI-UBERINDIASYSTEMS P-UBER1.RZP@HDFCB ANK-HDFC0MERUPI-200547782471-UBERRIDE                                   Debit         1.00  Transport
07-04-2026  UPI-BAGMANE-BAGMANE.63010747@HDFCBANK-HD FC0MERUPI-603783100586-PAYMENTFROM PHON E                             Debit       708.00  Transport
07-04-2026  UPI-KA01AR3910-BMTC.KA01AR3910@CNRB-CNRB 0000681-444312451657-PAYMENTFROMPHONE                                 Debit        20.00  Transport
08-04-2026  UPI-GIRIDHARISAHOO-6372612061@YBL-KKBK0 008121-544978837954-PAYMENTFROMPHONE                                   Debit        75.00  Transport
09-04-2026  UPI-BANGALOREMETRO RAIL-BANGALOREMETROR AILCORP-8579705.PAYU@INDUS-INDB0MERCHA-2 44821213807-PAYMENTFROMPHONE  Debit        40.00  Transport
09-04-2026  UPI-SUROJ DEY-SUROJDEYSUROJDEY0@OKICICI- CNRB0000033-481043421346-PAYMENTFROMPH ONE                            Debit        40.00  Transport
09-04-2026  UPI-BANGALOREMETRO RAIL-BANGALOREMETROR AILCORP-8579705.PAYU@INDUS-INDB0MERCHA-7 11988603057-PAYMENTFROMPHONE  Debit        40.00  Transport
12-04-2026  UPI-SRIGURU RAGHAVENDRA-Q201985284@YBL- YESB0YBLUPI-764514364597-PAYMENTFROMPH ONE                             Debit        52.00  Transport
12-04-2026  UPI-KA01AR2961-BMTC.KA01AR2961@CNRB-CNRB 0000681-215757382957-PAYMENTFROMPHONE                                 Debit        45.00  Transport
12-04-2026  UPI-BMTCBUS KA57F5970-KA57F5970@CNRB-CN RB0000033-425809790138-PAYMENTFROMPHON E                               Debit        34.00  Transport
14-04-2026  UPI-VIMALMS-9895943110@YBL-CNRB0000000 -454285591566-PAYMENTFROMPHONE                                          Debit        50.00  Transport
15-04-2026  UPI-RUDRANARAYAN SAHOO-6371491641@PTSBI -KKBK0008042-036515099326-PAYMENTFROMP HONE                            Debit        59.00  Transport
16-04-2026  UPI-MRKRAVI KUAMAR-Q661105194@YBL-YESB 0YBLUPI-721004085282-PAYMENTFROMPHONE                                   Debit        50.00  Transport
18-04-2026  UPI-PREETHIK P-PAYTM.S1UZE8O@PTY-YESB0M CHUPI-157532821555-PAYMENTFROMPHONE                                    Debit       100.00  Transport
20-04-2026  UPI-GOUTAMCHARAN DAS-9741897978@KOTAK81 1-KKBK0008155-604134865105-PAYMENTFROM PHONE                           Debit        70.00  Transport
20-04-2026  UPI-BANGALOREMETRO RAIL-ENGLISHBMRC.PAY U@AXISBANK-UTIB0003156-217466143750-PAYM ENTFROMPHONE                  Debit        40.00  Transport
20-04-2026  UPI-BANGALOREMETRO RAIL-ENGLISHBMRC.PAY U@AXISBANK-UTIB0003156-872552997869-PAYM ENTFROMPHONE                  Debit        40.00  Transport
21-04-2026  UPI-RUDRANARAYAN SAHOO-6371491641@PTSBI -KKBK0008042-400494610609-PAYMENTFROMP HONE                            Debit        67.00  Transport
21-04-2026  UPI-RBLBANKLIMITED-NCMC.6401PMTS000275 638@CASHFREENSDLPB-NSPB0000011-974126487 526-PAYMENTFROMPHONE           Debit       550.00  Transport
22-04-2026  UPI-ANJINAGOWDA-8553858784@AXL-BARB0BRIG AD-842984501865-PAYMENTFROMPHONE                                      Debit        54.00  Transport
23-04-2026  UPI-SALLA LAKSHMIPATHI-7411112868@SUPERY ES-UTIB0001203-482246608036-PAYMENTFROM PHONE                         Debit        56.00  Transport
24-04-2026  UPI-RANJANKUMAR BEHERA-8598829410@IBL-B KID0005498-795733839199-PAYMENTFROMPHO NE                              Debit        50.00  Transport
27-04-2026  UPI-N AMARESH-NAMARESH1989@OKAXIS-HDFC00 01037-259192288767-PAYMENTFROMPHONE                                   Debit        48.00  Transport
28-04-2026  UPI-AMIYAKUMAR SAHOO-7894183203@AXL-SBI N0013581-658634445253-PAYMENTFROMPHONE                                 Debit        40.00  Transport
29-04-2026  UPI-SURESHKUMARA N-ANSURESHAKUMARA@YBL -CNRB0000000-562784536303-PAYMENTFROMP HONE                             Debit        40.00  Transport
30-04-2026  UPI-AJITHKUMAR-0439120000486@AXL-CNRB00 00033-258913846052-PAYMENTFROMPHONE                                    Debit        40.00  Transport
30-04-2026  UPI-RBLBANKLIMITED-NCMC.6401PMTS000275 638@CASHFREENSDLPB-NSPB0000011-614530812 509-PAYMENTFROMPHONE           Debit       550.00  Transport

All processed transactions:
Date        Narration                                                                                                      Type    Amount (₹)  Category                     
----------  -------------------------------------------------------------------------------------------------------------  ------  ----------  -----------------------------
01-04-2026  UPI-BLRUNITOPIP-PAYTM.D10887095444@PTY -YESB0MCHUPI-826045261590-PAYMENTFROMP HONE                             Debit       800.00  Uncategorized                
01-04-2026  INTERESTPAIDTILL31-MAR-2026                                                                                    Credit    2,492.00  Uncategorized                
01-04-2026  UPI-RAKESHKUMAR MALLIK-7682986266@NYES- KKBK0008042-708679651797-PAYMENTFROMPH ONE                             Debit        44.00  Transport                    
01-04-2026  UPI-KA01AR0394-BMTC.KA01AR0394@CNRB-CNRB 0000681-941994667985-PAYMENTFROMPHONE                                 Debit        25.00  Transport                    
01-04-2026  UPI-BLRCANT3-PAYTM.D10888580971@PTY-YE SB0MCHUPI-277245564534-PAYMENTFROM PHON E                               Debit        45.00  Uncategorized                
01-04-2026  UPI-BLRCAN-PAYTM.D10885610936@PTY-YESB0 MCHUPI-450859894690-PAYMENTFROMPHONE                                   Debit        25.00  Uncategorized                
01-04-2026  UPI-BLRCAN-PAYTM.D10885610936@PTY-YESB0 MCHUPI-287564655073-PAYMENTFROMPHONE                                   Debit        55.00  Uncategorized                
01-04-2026  UPI-BLRUNITOPIP4-PAYTM.D10887095536@P TY-YESB0MCHUPI-123090501817-PAYMENT FROM PHONE                           Debit       600.00  Uncategorized                
01-04-2026  UPI-BLRCANT3-PAYTM.D10888580971@PTY-YE SB0MCHUPI-297914688649-PAYMENTFROM PHON E                               Debit        25.00  Uncategorized                
01-04-2026  UPI-YESVEGETABLE MARKET-VYAPAR.17569346 3854@HDFCBANK-HDFC0MERUPI-017279030472-P AYMENTFROMPHONE               Debit       183.00  Food & Snacks                
01-04-2026  UPI-BMTCBUS KA57F2462-KA57F2462@CNRB-CN RB0000033-577070464078-PAYMENTFROMPHON E                               Debit        23.00  Transport                    
01-04-2026  UPI-MAYURABAKERYAND SW-OMBK.AAGQ11437P 8ZHR5KXC6@MBK-PPIW0881822-399557304422-P AYMENTFROMPHONE                Debit       114.00  Food & Snacks                
01-04-2026  UPI-SREEKANTHKUMAR SAL-7975017536@PTAX IS-SBIN0016234-814485178474-PAYMENTFROM PHONE                           Debit        51.00  Uncategorized                
01-04-2026  UPI-KABULI MUDULI-BHARATPE.9Z0M0J0P6X030 593@UNITYPE-UNBA000BHPE-779647648434-PAY TOBHARATPEME                 Debit        10.00  Food & Snacks                
01-04-2026  UPI-BLRUNITPHAR-PAYTM.D87096539@PTA-UT IB0000022-520766143093-PAYMENTFROMPHON E                                Debit       553.00  Uncategorized                
02-04-2026  UPI-KA01AR0381-BMTC.KA01AR0381@CNRB-CNRB 0000681-987255107190-PAYMENTFROMPHONE                                 Debit        20.00  Transport                    
02-04-2026  UPI-GOUTAMCHARAN DAS-9741897978@KOTAK81 1-KKBK0008155-806559248372-PAYMENTFROM PHONE                           Debit        52.00  Transport                    
02-04-2026  UPI-KA01AR1680-BMTC.KA01AR1680@CNRB-CNRB 0000681-571606194492-PAYMENTFROMPHONE                                 Debit        20.00  Transport                    
02-04-2026  UPI-HUNGERBOX-PAYTM-8774066@PTYBL-YESB0P TMUPI-237671120159-HUNGERBOXORDER P                                   Debit       185.00  Food & Snacks                
02-04-2026  UPI-MSBABAIHOTEL-IBKPOS.EP149996@ICIC I-ICIC0000004-484911103635-PAYMENTFROM PHONE                             Debit        60.00  Food & Snacks                
02-04-2026  UPI-MSBABAIHOTEL-IBKPOS.EP149996@ICIC I-ICIC0000004-996529661586-PAYMENTFROM PHONE                             Debit        70.00  Food & Snacks                
02-04-2026  UPI-SHANTHRAJ K-Q276102246@YBL-YESB0YBLU PI-919279036071-PAYMENTFROMPHONE                                      Debit        20.00  Uncategorized                
02-04-2026  UPI-SATHYASAIFILLINGS-PAYTM.D16484852 068@PTY-YESB0MCHUPI-229499410065-PAYMENT FROMPHONE                       Debit     2,200.67  Petrol / Fuel                
02-04-2026  UPI-FAMILIESHYPERMART-Q433928782@YBL-Y ESB0YBLUPI-283787427607-PAYMENTFROMPHO NE                               Debit     2,253.00  Food & Snacks                
02-04-2026  UPI-SANNARANGEGOWDA T-Q955819067@YBL-YES B0YBLUPI-333729996321-PAYMENTFROM PHONE                               Debit       190.00  Groceries                    
03-04-2026  UPI-YERIPALLI APPALARAJ-APPALARAJUYERIP ALLI955@IBL-SBIN0021994-470093808105-PAY MENTFROMPHONE                 Debit     1,500.00  Uncategorized                
03-04-2026  UPI-FAMILYKITCHENICECR-VYAPAR.17575327 8670@HDFCBANK-HDFC0MERUPI-238689135785-P AYMENTFROMPHONE                Debit        20.00  Food & Snacks                
03-04-2026  UPI-FAMILYKITCHENICECR-VYAPAR.17575327 8670@HDFCBANK-HDFC0MERUPI-265655866592-P AYMENTFROMPHONE                Debit        90.00  Food & Snacks                
03-04-2026  UPI-KABULI MUDULI-BHARATPE.9Z0M0J0P6X030 593@UNITYPE-UNBA000BHPE-084023951411-PAY TOBHARATPEME                 Debit        10.00  Food & Snacks                
03-04-2026  UPI-SANTHOSHAKUMARA SHE-PAYTMQR72VPS6@P TYS-YESB0PTMUPI-558078721472-PAYMENTFRO MPHONE                         Debit        25.00  Uncategorized                
03-04-2026  UPI-SANTHOSHAKUMARA SHE-PAYTMQR72VPS6@P TYS-YESB0PTMUPI-889005778963-PAYMENTFRO MPHONE                         Debit       100.00  Transport                    
04-04-2026  UPI-YERIPALLI APPALARAJ-APPALARAJUYERIP ALLI955@IBL-SBIN0021994-396339895052-PAY MENTFROMPHONE                 Debit     2,000.00  Uncategorized                
04-04-2026  UPI-FAMILYKITCHENICECR-VYAPAR.17575327 8670@HDFCBANK-HDFC0MERUPI-088569513055-P AYMENTFROMPHONE                Debit        90.00  Food & Snacks                
04-04-2026  UPI-NALABHIMAPAKAM KAMMA-PAYTMQR28100505 01011DVBY38YKIA5@PAYTM-YESB0PTMUPI-59410 9973847-PAYMENTFROMPHONE     Debit       110.00  Food & Snacks                
04-04-2026  UPI-KABULI MUDULI-BHARATPE.9Z0M0J0P6X030 593@UNITYPE-UNBA000BHPE-924829167726-PAY TOBHARATPEME                 Debit        10.00  Food & Snacks                
04-04-2026  UPI-SANNARANGEGOWDA T-Q273289229@YBL-YES B0YBLUPI-646343507355-PAYMENTFROM PHONE                               Debit        30.00  Groceries                    
05-04-2026  UPI-PRASHANTHYADAV POTHU-PAYTM.S1S99M7@P TY-YESB0MCHUPI-041973413767-PAYMENT FROM PHONE                        Debit       230.00  Uncategorized                
05-04-2026  UPI-KMSVEGETABLESAND F-PAYTMQR6E5IT4@P TYS-YESB0PTMUPI-083538417266-PAYMENTFRO MPHONE                          Debit       128.00  Food & Snacks                
05-04-2026  UPI-SHANTESHBBAGI-9449278574@YBL-SBIN0 000909-962064847390-PAYMENTFROMPHONE                                    Debit    95,000.00  Uncategorized                
05-04-2026  UPI-KABULI MUDULI-BHARATPE.9Z0M0J0P6X030 593@UNITYPE-UNBA000BHPE-664493935518-PAY TOBHARATPEME                 Debit        10.00  Food & Snacks                
05-04-2026  UPI-MRSRINIVAS M-Q947708676@YBL-YESB0Y BLUPI-464326897011-PAYMENTFROMPHONE                                     Debit        17.00  Tea and Snacks               
06-04-2026  UPI-SANNARANGEGOWDA T-Q273289229@YBL-YES B0YBLUPI-823596932222-PAYMENTFROM PHONE                               Debit       180.00  Groceries                    
06-04-2026  UPI-RAVIKUMARA R-RAVIKU4071@AXL-IOBA000 0329-696533349752-PAYMENTFROMPHONE                                     Debit        78.00  Transport                    
06-04-2026  UPI-BMTCBUS KA57F4594-KA57F4594@CNRB-CN RB0000033-357166968507-PAYMENTFROMPHON E                               Debit        12.00  Transport                    
06-04-2026  UPI-HUNGERBOX-PAYTM-8774066@PTYBL-YESB0P TMUPI-905896265142-HUNGERBOXORDER P                                   Debit       115.00  Food & Snacks                
06-04-2026  UPI-BMTCBUS KA57F1100-KA57F1100@CNRB-CN RB0000681-495002195875-PAYMENTFROMPHON E                               Debit        20.00  Transport                    
06-04-2026  UPI-SANNARANGEGOWDA T-Q273289229@YBL-YES B0YBLUPI-809726907818-PAYMENTFROM PHONE                               Debit       156.00  Groceries                    
07-04-2026  UPI-UBERINDIASYSTEMS P-UBER1.RZP@HDFCB ANK-HDFC0000001-103066596336-REFUNDFOR UBERIN                           Credit        1.00  Transport                    
07-04-2026  UPI-HMSIDDESH-9620778824@AXL-FDRL00015 85-814051512359-PAYMENTFROMPHONE                                        Debit       210.00  Uncategorized                
07-04-2026  NEFTDR-ICIC0000106-VAASTUDEW FLOWER-NE TBANK, MUM-HDFCH00915814825-HDFC04474E2A C8C5                           Debit     3,000.00  House Maintenance            
07-04-2026  UPI-UBERINDIASYSTEMS P-UBER1.RZP@HDFCB ANK-HDFC0MERUPI-200547782471-UBERRIDE                                   Debit         1.00  Transport                    
07-04-2026  UPI-SADHANA AK-7899664828-2@IBL-SBIN004 0117-571753513998-PAYMENTFROMPHONE                                     Debit    15,000.00  Rent                         
07-04-2026  UPI-HUNGERBOX-PAYTM-8774066@PTYBL-YESB0P TMUPI-342644302341-HUNGERBOXORDER P                                   Debit       120.00  Food & Snacks                
07-04-2026  UPI-BAGMANE-BAGMANE.63010747@HDFCBANK-HD FC0MERUPI-603783100586-PAYMENTFROM PHON E                             Debit       708.00  Transport                    
07-04-2026  UPI-SOMASHEKHAR R-Q153524740@YBL-YESB0Y BLUPI-083622166499-PAYMENTFROMPHONE                                    Debit       210.00  Food & Snacks                
07-04-2026  UPI-FAMILIESHYPERMART-Q737252971@YBL-Y ESB0YBLUPI-198158756777-PAYMENTFROMPHO NE                               Debit     5,169.00  Food & Snacks                
07-04-2026  UPI-KA01AR3910-BMTC.KA01AR3910@CNRB-CNRB 0000681-444312451657-PAYMENTFROMPHONE                                 Debit        20.00  Transport                    
08-04-2026  UPI-SANNARANGEGOWDA T-Q273289229@YBL-YES B0YBLUPI-413133893425-PAYMENTFROM PHONE                               Debit       162.00  Groceries                    
08-04-2026  UPI-GIRIDHARISAHOO-6372612061@YBL-KKBK0 008121-544978837954-PAYMENTFROMPHONE                                   Debit        75.00  Transport                    
08-04-2026  UPI-HUNGERBOX-PAYTM-8774066@PTYBL-YESB0P TMUPI-863602315223-HUNGERBOXORDER P                                   Debit       120.00  Food & Snacks                
08-04-2026  UPI-15240APOLLO PHARMAC-PAYTM-83510741@ PTYS-YESB0PTMUPI-865904241475-PAYMENTFR OMPHONE                        Debit     1,082.99  Food & Snacks                
08-04-2026  UPI-PALAGIRI BALASUBBAR-Q035890289@YBL- YESB0YBLUPI-886182042345-PAYMENTFROMPH ONE                             Debit       596.00  Uncategorized                
09-04-2026  UPI-BANGALOREMETRO RAIL-BANGALOREMETROR AILCORP-8579705.PAYU@INDUS-INDB0MERCHA-2 44821213807-PAYMENTFROMPHONE  Debit        40.00  Transport                    
09-04-2026  UPI-SUROJ DEY-SUROJDEYSUROJDEY0@OKICICI- CNRB0000033-481043421346-PAYMENTFROMPH ONE                            Debit        40.00  Transport                    
09-04-2026  UPI-HUNGERBOX-PAYTM-8774066@PTYBL-YESB0P TMUPI-842052004223-HUNGERBOXORDER B                                   Debit        80.00  Food & Snacks                
09-04-2026  UPI-BANGALOREMETRO RAIL-BANGALOREMETROR AILCORP-8579705.PAYU@INDUS-INDB0MERCHA-7 11988603057-PAYMENTFROMPHONE  Debit        40.00  Transport                    
09-04-2026  UPI-PALAGIRI BALASUBBAR-Q035890289@YBL- YESB0YBLUPI-957921034107-PAYMENTFROMPH ONE                             Debit        60.00  Uncategorized                
09-04-2026  UPI-PALAGIRI BALASUBBAR-Q035890289@YBL- YESB0YBLUPI-608155821500-PAYMENTFROMPH ONE                             Debit        70.00  Uncategorized                
09-04-2026  UPI-BINDUPV-8722444894@IBL-CNRB0000033 -937419654782-PAYMENTFROMPHONE                                          Debit       230.00  Uncategorized                
09-04-2026  UPI-GARIMA PANDE-PAYTMQR6CW65V@PTYS-YESB 0PTMUPI-154287628052-PAYMENTFROMPHONE                                 Debit       159.00  Uncategorized                
12-04-2026  UPI-PHONEPE-SV2512112238344230219611@YBL -YESB0YBLUPI-545743544442-PAYMENTFROMP HONE                           Debit       404.00  Uncategorized                
12-04-2026  UPI-ATOZ ENTERPRISES-PAYTMQR60UOV5@PTY S-YESB0PTMUPI-738261112699-PAYMENTFROM PHONE                            Debit        35.00  Uncategorized                
12-04-2026  UPI-SRIGURU RAGHAVENDRA-Q201985284@YBL- YESB0YBLUPI-811630316939-PAYMENTFROMPH ONE                             Debit        20.00  Uncategorized                
12-04-2026  UPI-SRIGURU RAGHAVENDRA-Q201985284@YBL- YESB0YBLUPI-764514364597-PAYMENTFROMPH ONE                             Debit        52.00  Transport                    
12-04-2026  UPI-THANUSHREER N-THANUSHREENAGARAJTHAN U-1@OKAXIS-CNRB0000033-465602612500-PAYM ENTFROMPHONE                  Debit       567.00  Uncategorized                
12-04-2026  UPI-SRIMATHA VAIBHAVA-PAYTM.S1O5SMU@PTY -YESB0MCHUPI-334432683485-PAYMENTFROMP HONE                            Debit       150.00  Uncategorized                
12-04-2026  UPI-SHEKARH MOGERA-Q666596613@YBL-YESB0 YBLUPI-383850326290-PAYMENTFROMPHONE                                   Debit        55.00  Uncategorized                
12-04-2026  UPI-KA01AR2961-BMTC.KA01AR2961@CNRB-CNRB 0000681-215757382957-PAYMENTFROMPHONE                                 Debit        45.00  Transport                    
12-04-2026  UPI-DEVAGUDI VYSHNAVI-VYSHU.1999@YBL-ICI C0000674-379711230142-PAYMENTFROMPHONE                                Debit        46.00  Uncategorized                
12-04-2026  UPI-BMTCBUS KA57F5970-KA57F5970@CNRB-CN RB0000033-425809790138-PAYMENTFROMPHON E                               Debit        34.00  Transport                    
14-04-2026  UPI-VIMALMS-9895943110@YBL-CNRB0000000 -454285591566-PAYMENTFROMPHONE                                          Debit        50.00  Transport                    
14-04-2026  UPI-HUNGERBOX-PAYTM-8774066@PTYBL-YESB0P TMUPI-577501394898-HUNGERBOXORDER B                                   Debit        80.00  Food & Snacks                
14-04-2026  UPI-HUNGERBOX-PAYTM-8774066@PTYBL-YESB0P TMUPI-436797365827-HUNGERBOXORDER P                                   Debit       120.00  Food & Snacks                
14-04-2026  UPI-HUNGERBOX-PAYTM-8774066@PTYBL-YESB0P TMUPI-647004005668-EXPRESS                                            Credit       80.00  Food & Snacks                
14-04-2026  UPI-SUBRAMANYA DILEEP-PAYTM.S1ZV0VO@PTY- YESB0MCHUPI-328688696095-PAYMENTFROM PH ONE                           Debit       130.00  Uncategorized                
15-04-2026  UPI-HUNGERBOX-PAYTM-8774066@PTYBL-YESB0P TMUPI-621894302327-HUNGERBOXORDER P                                   Debit       120.00  Food & Snacks                
15-04-2026  UPI-RUDRANARAYAN SAHOO-6371491641@PTSBI -KKBK0008042-036515099326-PAYMENTFROMP HONE                            Debit        59.00  Transport                    
15-04-2026  UPI-SANNARANGEGOWDA T-Q273289229@YBL-YES B0YBLUPI-081592231292-PAYMENTFROM PHONE                               Debit       290.00  Groceries                    
15-04-2026  UPI-GOOGLE PLAY-PLAYSTORE@AXISBANK-UTIB0 000553-448026351056-MANDATEEXECUTE                                    Debit     2,000.00  Entertainment / Subscriptions
15-04-2026  UPI-NEWUDUPI GARDEN-OMBK.AAFM23046Z6VV1 5FHZE@MBK-PPIW0881822-555872739467-PAYME NTFROMPHONE                   Debit        50.00  Food & Snacks                
15-04-2026  UPI-NEWUDUPI GARDEN-OMBK.AAFM23046Z6VV1 5FHZE@MBK-PPIW0881822-844488800225-PAYME NTFROMPHONE                   Debit        30.00  Food & Snacks                
16-04-2026  UPI-MRKRAVI KUAMAR-Q661105194@YBL-YESB 0YBLUPI-721004085282-PAYMENTFROMPHONE                                   Debit        50.00  Transport                    
17-04-2026  UPI-ZEESWIMACADEMY-MAB.037244030500329 @AXISBANK-UTIB0000100-017032238459-PAYME NTFROMPHONE                    Debit     9,000.00  Swimming                     
18-04-2026  UPI-SANNARANGEGOWDA T-Q273289229@YBL-YES B0YBLUPI-708464564705-PAYMENTFROM PHONE                               Debit       540.00  Groceries                    
18-04-2026  UPI-PREETHIK P-PAYTM.S1UZE8O@PTY-YESB0M CHUPI-157532821555-PAYMENTFROMPHONE                                    Debit       100.00  Transport                    
18-04-2026  UPI-UMESH BHATT-PAYTMQR6FHAH1@PTYS-YESB0 PTMUPI-473159376208-PAYMENTFROMPHONE                                  Debit        60.00  Uncategorized                
19-04-2026  UPI-FAMILIESHYPERMART-Q737252971@YBL-Y ESB0YBLUPI-422773831355-PAYMENTFROMPHO NE                               Debit       308.00  Food & Snacks                
19-04-2026  UPI-DOMINOSPIZZA-DOMINOSPIZZA.42489573@ HDFCBANK-HDFC0MERUPI-973561617332-PAYMEN TFROMPHONE                    Debit       363.82  Food & Snacks                
20-04-2026  UPI-GOUTAMCHARAN DAS-9741897978@KOTAK81 1-KKBK0008155-604134865105-PAYMENTFROM PHONE                           Debit        70.00  Transport                    
20-04-2026  UPI-BANGALOREMETRO RAIL-ENGLISHBMRC.PAY U@AXISBANK-UTIB0003156-217466143750-PAYM ENTFROMPHONE                  Debit        40.00  Transport                    
20-04-2026  UPI-HUNGERBOX-PAYTM-8774066@PTYBL-YESB0P TMUPI-543250578438-HUNGERBOXORDER P                                   Debit       115.00  Food & Snacks                
20-04-2026  UPI-BANGALOREMETRO RAIL-ENGLISHBMRC.PAY U@AXISBANK-UTIB0003156-872552997869-PAYM ENTFROMPHONE                  Debit        40.00  Transport                    
20-04-2026  UPI-RAMYASBIRYANIHOUS-GPAY-1219121877 5@OKBIZAXIS-UTIB0000553-673818037726-PAY MENTFROMPHONE                   Debit       120.00  Food & Snacks                
20-04-2026  UPI-GROWWINVESTTECH PV-GROWW.BRK@VALID HDFC-HDFC0MERUPI-055502406968-PAIDVIAE LEMENTS                          Debit    40,000.00  Investments                  
21-04-2026  UPI-HUNGERBOX-PAYTM-8774066@PTYBL-YESB0P TMUPI-618275786532-HUNGERBOXORDER B                                   Debit       100.00  Food & Snacks                
